Ref,Val,Package,PosX,PosY,Rot,Side
"U1","AS5048B","TSSOP-14_4.4x5mm_P0.65mm",-117.188000,-93.312000,0.000000,bottom
"C1","10µF","C_0402_1005Metric",122.688000,-94.512000,270.000000,top
"C2","100nF","C_0402_1005Metric",121.188000,-92.012000,0.000000,top
"D1","LED (green)","LED_0402_1005Metric",122.188000,-97.012000,0.000000,top
"J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",117.188000,-97.512000,0.000000,top
"R1","18kΩ","R_0402_1005Metric",113.788000,-90.812000,270.000000,top
"R2","18kΩ","R_0402_1005Metric",112.688000,-94.712000,270.000000,top
"R3","2.2kΩ","R_0402_1005Metric",112.288000,-91.812000,90.000000,top
"R4","2.2kΩ","R_0402_1005Metric",111.588000,-94.012000,270.000000,top
"R5","4.7kΩ","R_0402_1005Metric",122.188000,-96.012000,180.000000,top
