Ref,Val,Package,PosX,PosY,Rot,Side
"B1-C1","100nF 6.3V","C_0402_1005Metric",-51.600396,-35.699950,45.000000,bottom
"B1-C2","10uF 6.3V","C_0402_1005Metric",-53.150396,-40.929950,135.000000,bottom
"B1-U1","AEAT_8800_Q24","QFN-24-1EP_5x5mm_P0.65mm_EP3.2x3.2mm",-55.000396,-37.499950,225.000000,bottom
"B2-U1","TLE5012B","Infineon_PG-DSO-8",-71.503039,-39.499999,270.000000,bottom
"B3-C2","1uF 6.3V","C_0402_1005Metric",-86.763438,-36.839950,0.000000,bottom
"B3-U1","MA730","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm",-88.003438,-39.499950,180.000000,bottom
"B4-C2","1uF 6.3V","C_0402_1005Metric",-99.766482,-36.839950,0.000000,bottom
"B4-U1","MA730","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm",-101.006482,-39.499950,180.000000,bottom
"B5-U1","AS5048B","TSSOP-14_4.4x5mm_P0.65mm",-117.509130,-39.499999,90.000000,bottom
"B6-U1","AS5048A","TSSOP-14_4.4x5mm_P0.65mm",-137.509133,-39.499999,90.000000,bottom
"REF**","Fiducial","Fiducial",-59.999000,-55.501000,0.000000,bottom
"REF**","Fiducial","Fiducial",-59.999000,-19.498950,0.000000,bottom
"REF**","Fiducial","Fiducial",-136.010131,-19.498950,0.000000,bottom
"B1-D1","green","LED_0402_1005Metric",52.100396,-38.684950,270.000000,top
"B1-J1","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",57.010396,-37.489950,90.000000,top
"B1-R1","1k","R_0402_1005Metric",52.120396,-36.309950,90.000000,top
"B2-C2","100nF 6.3V","C_0402_1005Metric",71.503039,-42.799999,0.000000,top
"B2-D1","green","LED_0402_1005Metric",69.503039,-42.799999,0.000000,top
"B2-J1","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",75.773039,-39.499999,90.000000,top
"B2-R1","1k","R_0402_1005Metric",69.503039,-43.899999,0.000000,top
"B3-D1","green","LED_0402_1005Metric",86.173438,-41.864950,270.000000,top
"B3-J1","Conn_01x06_MountingPin","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",90.003438,-39.499950,90.000000,top
"B3-R1","1k","R_0402_1005Metric",86.173438,-39.629950,90.000000,top
"B4-D1","green","LED_0402_1005Metric",99.176482,-41.864950,270.000000,top
"B4-J1","Conn_01x06_MountingPin","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",103.006482,-39.499950,90.000000,top
"B4-R1","1k","R_0402_1005Metric",99.176482,-39.629950,90.000000,top
"B5-C1","10uF","C_0402_1005Metric",118.709130,-33.999999,0.000000,top
"B5-C2","100nF","C_0402_1005Metric",116.209130,-35.499999,90.000000,top
"B5-D1","LED (green)","LED_0402_1005Metric",121.209130,-34.499999,90.000000,top
"B5-J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",121.709130,-39.499999,90.000000,top
"B5-R1","18k","R_0402_1005Metric",115.009130,-42.899999,0.000000,top
"B5-R2","18k","R_0402_1005Metric",118.909130,-43.999999,0.000000,top
"B5-R3","2k2","R_0402_1005Metric",116.009130,-44.399999,180.000000,top
"B5-R4","2k2","R_0402_1005Metric",118.209130,-45.099999,0.000000,top
"B5-R5","2k2","R_0402_1005Metric",120.209130,-34.499999,270.000000,top
"B6-C1","10µF","C_0402_1005Metric",138.709133,-33.999999,0.000000,top
"B6-C2","100nF","C_0402_1005Metric",136.209133,-35.499999,90.000000,top
"B6-D1","LED (green)","LED_0402_1005Metric",134.984133,-44.374999,180.000000,top
"B6-J1","Conn_01x06","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",141.709133,-39.499999,90.000000,top
"B6-R5","4.7kΩ","R_0402_1005Metric",134.984133,-45.374999,0.000000,top
"REF**","Fiducial","Fiducial",136.010131,-19.498950,0.000000,top
"REF**","Fiducial","Fiducial",59.999000,-55.501000,0.000000,top
"REF**","Fiducial","Fiducial",59.999000,-19.498950,0.000000,top
